X,pre1,pre2,level,post
~P-Y-Z|~T|O,[-[~P][-Y[|[|Z[~T]]O]]],- ~ P - Y | | Z ~ T O ,- ~ - P ? Y | ? ? ? ? ? | O ? ? ? ? ? Z ~ ? ? ? ? ? ? ? ? ? T ? ? ? ,P ~ Y Z T ~ | O | - - 
I-~H^~T-~D|U,[-I[-[^[~H][~T]][|[~D]U]]],- I - ^ ~ H ~ T | ~ D U ,- I - ? ? ^ | ? ? ~ ~ ~ U ? ? H ? T ? D ? ? ? ,I H ~ T ~ ^ D ~ U | - - 
M|V^~U,[|M[^V[~U]]],| M ^ V ~ U ,| M ^ ? ? V ~ ? ? ? ? U ? ,M V U ~ ^ | 
~I-~J^L,[-[~I][^[~J]L]],- ~ I ^ ~ J L ,- ~ ^ I ? ~ L ? ? ? J ? ? ? ,I ~ J ~ L ^ - 
~Y-X-R^~M,[-[~Y][-X[^R[~M]]]],- ~ Y - X ^ R ~ M ,- ~ - Y ? X ^ ? ? ? ? ? R ~ ? ? ? ? ? ? ? M ? ,Y ~ X R M ~ ^ - - 
S-L^P|G^E,[-S[|[^LP][^GE]]],- S | ^ L P ^ G E ,- S | ? ? ^ ^ ? ? L P G E ,S L P ^ G E ^ | - 
J^~S|~N-~Z-Z,[-[|[^J[~S]][~N]][-[~Z]Z]],- | ^ J ~ S ~ N - ~ Z Z ,- | - ^ ~ ~ Z J ~ N ? Z ? ? ? ? ? S ? ? ? ? ? ? ? ? ? ,J S ~ ^ N ~ | Z ~ Z - - 
~E,,,,E ~
~B^~B^R|~U,[|[^[^[~B][~B]]R][~U]],| ^ ^ ~ B ~ B R ~ U ,| ^ ~ ^ R U ? ~ ~ ? ? ? ? ? B ? B ? ? ? ? ? ? ,B ~ B ~ ^ R ^ U ~ | 
~O|~P^W,[|[~O][^[~P]W]],| ~ O ^ ~ P W ,| ~ ^ O ? ~ W ? ? ? P ? ? ? ,O ~ P ~ W ^ | 
~M^K-G|C,[-[^[~M]K][|GC]],- ^ ~ M K | G C ,- ^ | ~ K G C M ? ? ? ? ? ? ? ,M ~ K ^ G C | - 
V^~W-Z|E-E,[-[^V[~W]][-[|ZE]E]],- ^ V ~ W - | Z E E ,- ^ - V ~ | E ? ? W ? Z E ? ? ,V W ~ ^ Z E | E - - 
Q^A^U-~A,[-[^[^QA]U][~A]],- ^ ^ Q A U ~ A ,- ^ ~ ^ U A ? Q A ? ? ? ? ? ,Q A ^ U ^ A ~ - 
~E|D-~Q,[-[|[~E]D][~Q]],- | ~ E D ~ Q ,- | ~ ~ D Q ? E ? ? ? ? ? ? ,E ~ D | Q ~ - 
K|J^~J,[|K[^J[~J]]],| K ^ J ~ J ,| K ^ ? ? J ~ ? ? ? ? J ? ,K J J ~ ^ | 
V^X^N-K,[-[^[^VX]N]K],- ^ ^ V X N K ,- ^ K ^ N ? ? V X ? ? ? ? ,V X ^ N ^ K - 
W-~B|~I|W|~W,[-W[|[|[|[~B][~I]]W][~W]]],- W | | | ~ B ~ I W ~ W ,- W | ? ? | ~ ? ? | W W ? ? ? ~ ~ ? ? ? ? ? ? ? B ? I ? ? ? ? ? ? ,W B ~ I ~ | W | W ~ | - 
H^N-~C^N,[-[^HN][^[~C]N]],- ^ H N ^ ~ C N ,- ^ ^ H N ~ N ? ? ? ? C ? ? ? ,H N ^ C ~ N ^ - 
A^~W^C,[^[^A[~W]]C],^ ^ A ~ W C ,^ ^ C A ~ ? ? ? ? W ? ? ? ,A W ~ ^ C ^ 
~B^U^C|~U,[|[^[^[~B]U]C][~U]],| ^ ^ ~ B U C ~ U ,| ^ ~ ^ C U ? ~ U ? ? ? ? ? B ? ? ? ? ? ? ? ? ,B ~ U ^ C ^ U ~ | 
~W^B^~V^Q,[^[^[^[~W]B][~V]]Q],^ ^ ^ ~ W B ~ V Q ,^ ^ Q ^ ~ ? ? ~ B V ? ? ? W ? ? ? ? ? ? ? ? ,W ~ B ^ V ~ ^ Q ^ 
~T-~X-E-~Z-~P,[-[~T][-[~X][-E[-[~Z][~P]]]]],- ~ T - ~ X - E - ~ Z ~ P ,- ~ - T ? ~ - ? ? ? X ? E - ? ? ? ? ? ? ? ? ~ ~ ? ? ? ? ? ? ? ? Z ? P ? ,T ~ X ~ E Z ~ P ~ - - - - 
~L^O-J-~W,[-[^[~L]O][-J[~W]]],- ^ ~ L O - J ~ W ,- ^ - ~ O J ~ L ? ? ? ? ? W ? ,L ~ O ^ J W ~ - - 
R-~Z-J^~J,[-R[-[~Z][^J[~J]]]],- R - ~ Z ^ J ~ J ,- R - ? ? ~ ^ ? ? Z ? J ~ ? ? ? ? ? ? ? J ? ,R Z ~ J J ~ ^ - - 
~C-~A|G,[-[~C][|[~A]G]],- ~ C | ~ A G ,- ~ | C ? ~ G ? ? ? A ? ? ? ,C ~ A ~ G | - 
~T-R|E,[-[~T][|RE]],- ~ T | R E ,- ~ | T ? R E ,T ~ R E | - 
~T-L^L,[-[~T][^LL]],- ~ T ^ L L ,- ~ ^ T ? L L ,T ~ L L ^ - 
S|K-~I|R^V,[-[|SK][|[~I][^RV]]],- | S K | ~ I ^ R V ,- | | S K ~ ^ ? ? ? ? I ? R V ,S K | I ~ R V ^ | - 
K|K|J,[|[|KK]J],| | K K J ,| | J K K ? ? ,K K | J | 
W^M-~H^W,[-[^WM][^[~H]W]],- ^ W M ^ ~ H W ,- ^ ^ W M ~ W ? ? ? ? H ? ? ? ,W M ^ H ~ W ^ - 
Q|~G-~Z,[-[|Q[~G]][~Z]],- | Q ~ G ~ Z ,- | ~ Q ~ Z ? ? ? G ? ? ? ? ,Q G ~ | Z ~ - 
~R^P^J,[^[^[~R]P]J],^ ^ ~ R P J ,^ ^ J ~ P ? ? R ? ? ? ? ? ,R ~ P ^ J ^ 
F^~E-U^~L|~B,[-[^F[~E]][|[^U[~L]][~B]]],- ^ F ~ E | ^ U ~ L ~ B ,- ^ | F ~ ^ ~ ? ? E ? U ~ B ? ? ? ? ? ? ? ? L ? ? ? ? ,F E ~ ^ U L ~ ^ B ~ | - 
~Z-~U^~U^V,[-[~Z][^[^[~U][~U]]V]],- ~ Z ^ ^ ~ U ~ U V ,- ~ ^ Z ? ^ V ? ? ? ~ ~ ? ? ? ? ? U ? U ? ? ? ,Z ~ U ~ U ~ ^ V ^ - 
~Q^~G^~M-X,[-[^[^[~Q][~G]][~M]]X],- ^ ^ ~ Q ~ G ~ M X ,- ^ X ^ ~ ? ? ~ ~ M ? ? ? Q ? G ? ? ? ? ? ? ,Q ~ G ~ ^ M ~ ^ X - 
O|~T-A,[-[|O[~T]]A],- | O ~ T A ,- | A O ~ ? ? ? ? T ? ? ? ,O T ~ | A - 
~U-~O|J,[-[~U][|[~O]J]],- ~ U | ~ O J ,- ~ | U ? ~ J ? ? ? O ? ? ? ,U ~ O ~ J | - 
~V-L-B,[-[~V][-LB]],- ~ V - L B ,- ~ - V ? L B ,V ~ L B - - 
~F|J^L^~I|D,[|[|[~F][^[^JL][~I]]]D],| | ~ F ^ ^ J L ~ I D ,| | D ~ ^ ? ? F ? ^ ~ ? ? ? ? ? J L I ? ? ? ,F ~ J L ^ I ~ ^ | D | 
~H|L-~C^D,[-[|[~H]L][^[~C]D]],- | ~ H L ^ ~ C D ,- | ^ ~ L ~ D H ? ? ? C ? ? ? ,H ~ L | C ~ D ^ - 
~O^~R^~A-~Q^~I,[-[^[^[~O][~R]][~A]][^[~Q][~I]]],- ^ ^ ~ O ~ R ~ A ^ ~ Q ~ I ,- ^ ^ ^ ~ ~ ~ ~ ~ A ? Q ? I ? O ? R ? ? ? ? ? ? ? ? ? ? ,O ~ R ~ ^ A ~ ^ Q ~ I ~ ^ - 
J-~Y-~C,[-J[-[~Y][~C]]],- J - ~ Y ~ C ,- J - ? ? ~ ~ ? ? Y ? C ? ,J Y ~ C ~ - - 
U-M|O^~R,[-U[|M[^O[~R]]]],- U | M ^ O ~ R ,- U | ? ? M ^ ? ? ? ? O ~ ? ? ? ? ? ? R ? ,U M O R ~ ^ | - 
I^H|R^Y-K,[-[|[^IH][^RY]]K],- | ^ I H ^ R Y K ,- | K ^ ^ ? ? I H R Y ? ? ,I H ^ R Y ^ | K - 
~F|~V^~Y|~E-C,[-[|[|[~F][^[~V][~Y]]][~E]]C],- | | ~ F ^ ~ V ~ Y ~ E C ,- | C | ~ ? ? ~ ^ E ? ? ? F ? ~ ~ ? ? ? ? ? ? ? ? V ? Y ? ? ? ? ? ? ,F ~ V ~ Y ~ ^ | E ~ | C - 
J^~N^T^~G-~C,[-[^[^[^J[~N]]T][~G]][~C]],- ^ ^ ^ J ~ N T ~ G ~ C ,- ^ ~ ^ ~ C ? ^ T G ? ? ? ? J ~ ? ? ? ? ? ? ? ? ? ? N ? ? ? ? ? ? ? ? ? ,J N ~ ^ T ^ G ~ ^ C ~ - 
~C|~U|~T|E^D,[|[|[|[~C][~U]][~T]][^ED]],| | | ~ C ~ U ~ T ^ E D ,| | ^ | ~ E D ~ ~ T ? ? ? ? ? C ? U ? ? ? ? ? ? ? ? ,C ~ U ~ | T ~ | E D ^ | 
~P|E^~G,[|[~P][^E[~G]]],| ~ P ^ E ~ G ,| ~ ^ P ? E ~ ? ? ? ? ? G ? ,P ~ E G ~ ^ | 
~U^H^~X,[^[^[~U]H][~X]],^ ^ ~ U H ~ X ,^ ^ ~ ~ H X ? U ? ? ? ? ? ? ,U ~ H ^ X ~ ^ 
I-S-J^V,[-I[-S[^JV]]],#NAME?,- I - ? ? S ^ ? ? ? ? J V ,I S J V ^ - - 
~Q^Q-~N-P-M,[-[^[~Q]Q][-[~N][-PM]]],- ^ ~ Q Q - ~ N - P M ,- ^ - ~ Q ~ - Q ? ? ? N ? P M ,Q ~ Q ^ N ~ P M - - - 
G|~H|~O-~D|~L,[-[|[|G[~H]][~O]][|[~D][~L]]],- | | G ~ H ~ O | ~ D ~ L ,- | | | ~ ~ ~ G ~ O ? D ? L ? ? ? H ? ? ? ? ? ? ? ? ? ? ,G H ~ | O ~ | D ~ L ~ | - 
~A|S-E,[-[|[~A]S]E],- | ~ A S E ,- | E ~ S ? ? A ? ? ? ? ? ,A ~ S | E - 
~M-~C-E-Z,[-[~M][-[~C][-EZ]]],- ~ M - ~ C - E Z ,- ~ - M ? ~ - ? ? ? C ? E Z ,M ~ C ~ E Z - - - 
B-~A|S,[-B[|[~A]S]],- B | ~ A S ,- B | ? ? ~ S ? ? A ? ? ? ,B A ~ S | - 
~W^~D^V|V|J,[|[|[^[^[~W][~D]]V]V]J],| | ^ ^ ~ W ~ D V V J ,| | J ^ V ? ? ^ V ? ? ? ? ~ ~ ? ? ? ? ? ? W ? D ? ? ? ? ? ? ? ,W ~ D ~ ^ V ^ V | J | 
~K^~C|V-~Y-~C,[-[|[^[~K][~C]]V][-[~Y][~C]]],- | ^ ~ K ~ C V - ~ Y ~ C ,- | - ^ V ~ ~ ~ ~ ? ? Y ? C ? K ? C ? ? ? ? ? ? ? ? ? ,K ~ C ~ ^ V | Y ~ C ~ - - 
~S^~E|C|~P,[|[|[^[~S][~E]]C][~P]],| | ^ ~ S ~ E C ~ P ,| | ~ ^ C P ? ~ ~ ? ? ? ? ? S ? E ? ? ? ? ? ? ,S ~ E ~ ^ C | P ~ | 
B^M-~R-~K^~P,[-[^BM][-[~R][^[~K][~P]]]],- ^ B M - ~ R ^ ~ K ~ P ,- ^ - B M ~ ^ ? ? ? ? R ? ~ ~ ? ? ? ? ? ? ? K ? P ? ,B M ^ R ~ K ~ P ~ ^ - - 
X|N-W|T,[-[|XN][|WT]],- | X N | W T ,- | | X N W T ,X N | W T | - 
~C-I|I^~S,[-[~C][|I[^I[~S]]]],- ~ C | I ^ I ~ S ,- ~ | C ? I ^ ? ? ? ? ? I ~ ? ? ? ? ? ? ? S ? ,C ~ I I S ~ ^ | - 
Q|I^F,[|Q[^IF]],| Q ^ I F ,| Q ^ ? ? I F ,Q I F ^ | 
~L^H^Z^~N,[^[^[^[~L]H]Z][~N]],^ ^ ^ ~ L H Z ~ N ,^ ^ ~ ^ Z N ? ~ H ? ? ? ? ? L ? ? ? ? ? ? ? ? ,L ~ H ^ Z ^ N ~ ^ 
~P^H-L|S-~N,[-[^[~P]H][-[|LS][~N]]],- ^ ~ P H - | L S ~ N ,- ^ - ~ H | ~ P ? ? ? L S N ? ,P ~ H ^ L S | N ~ - - 
L|B-B,[-[|LB]B],- | L B B ,- | B L B ? ? ,L B | B - 
~Y-Z^S|Q|P,[-[~Y][|[|[^ZS]Q]P]],- ~ Y | | ^ Z S Q P ,- ~ | Y ? | P ? ? ? ^ Q ? ? ? ? ? Z S ? ? ? ? ,Y ~ Z S ^ Q | P | - 
F|M|~B,[|[|FM][~B]],| | F M ~ B ,| | ~ F M B ? ,F M | B ~ | 
U|~W-W|~Z|Q,[-[|U[~W]][|[|W[~Z]]Q]],- | U ~ W | | W ~ Z Q ,- | | U ~ | Q ? ? W ? W ~ ? ? ? ? ? ? ? ? ? Z ? ? ? ,U W ~ | W Z ~ | Q | - 
E^I-~J-~J,[-[^EI][-[~J][~J]]],- ^ E I - ~ J ~ J ,- ^ - E I ~ ~ ? ? ? ? J ? J ? ,E I ^ J ~ J ~ - - 
B|B-~F,[-[|BB][~F]],- | B B ~ F ,- | ~ B B F ? ,B B | F ~ - 
~F^~U|A^~W-M,[-[|[^[~F][~U]][^A[~W]]]M],- | ^ ~ F ~ U ^ A ~ W M ,- | M ^ ^ ? ? ~ ~ A ~ ? ? F ? U ? ? ? W ? ? ? ,F ~ U ~ ^ A W ~ ^ | M - 
~D^~W^R-N-H,[-[^[^[~D][~W]]R][-NH]],- ^ ^ ~ D ~ W R - N H ,- ^ - ^ R N H ~ ~ ? ? ? ? ? ? D ? W ? ? ? ? ? ? ? ,D ~ W ~ ^ R ^ N H - - 
L|I-~P,[-[|LI][~P]],- | L I ~ P ,- | ~ L I P ? ,L I | P ~ - 
~L-~Z|~G|~O^G,[-[~L][|[|[~Z][~G]][^[~O]G]]],- ~ L | | ~ Z ~ G ^ ~ O G ,- ~ | L ? | ^ ? ? ? ~ ~ ~ G ? ? ? Z ? G ? O ? ? ? ,L ~ Z ~ G ~ | O ~ G ^ | - 
T^~C^~N,[^[^T[~C]][~N]],^ ^ T ~ C ~ N ,^ ^ ~ T ~ N ? ? ? C ? ? ? ? ,T C ~ ^ N ~ ^ 
~B^~S|~G,[|[^[~B][~S]][~G]],| ^ ~ B ~ S ~ G ,| ^ ~ ~ ~ G ? B ? S ? ? ? ? ,B ~ S ~ ^ G ~ | 
X^~C|~V|G,[|[|[^X[~C]][~V]]G],| | ^ X ~ C ~ V G ,| | G ^ ~ ? ? X ~ V ? ? ? ? ? C ? ? ? ? ? ? ,X C ~ ^ V ~ | G | 
A^~C-~C-~M^M,[-[^A[~C]][-[~C][^[~M]M]]],- ^ A ~ C - ~ C ^ ~ M M ,- ^ - A ~ ~ ^ ? ? C ? C ? ~ M ? ? ? ? ? ? ? ? M ? ? ? ,A C ~ ^ C ~ M ~ M ^ - - 
P^Y|K^~I^~G,[|[^PY][^[^K[~I]][~G]]],| ^ P Y ^ ^ K ~ I ~ G ,| ^ ^ P Y ^ ~ ? ? ? ? K ~ G ? ? ? ? ? ? ? I ? ? ? ? ,P Y ^ K I ~ ^ G ~ ^ | 
E|~Q^~T,[|E[^[~Q][~T]]],| E ^ ~ Q ~ T ,| E ^ ? ? ~ ~ ? ? Q ? T ? ,E Q ~ T ~ ^ | 
~C|N-D^S,[-[|[~C]N][^DS]],- | ~ C N ^ D S ,- | ^ ~ N D S C ? ? ? ? ? ? ? ,C ~ N | D S ^ - 
~D|~N-B-~E,[-[|[~D][~N]][-B[~E]]],- | ~ D ~ N - B ~ E ,- | - ~ ~ B ~ D ? N ? ? ? E ? ,D ~ N ~ | B E ~ - - 
~Q-R-B-C,[-[~Q][-R[-BC]]],- ~ Q - R - B C ,- ~ - Q ? R - ? ? ? ? ? B C ,Q ~ R B C - - - 
D^~B^Q-~H,[-[^[^D[~B]]Q][~H]],- ^ ^ D ~ B Q ~ H ,- ^ ~ ^ Q H ? D ~ ? ? ? ? ? ? ? B ? ? ? ? ? ? ,D B ~ ^ Q ^ H ~ - 
G^M^F,[^[^GM]F],^ ^ G M F ,^ ^ F G M ? ? ,G M ^ F ^ 
T^~I^A^~D,[^[^[^T[~I]]A][~D]],^ ^ ^ T ~ I A ~ D ,^ ^ ~ ^ A D ? T ~ ? ? ? ? ? ? ? I ? ? ? ? ? ? ,T I ~ ^ A ^ D ~ ^ 
~K|E^L-~R,[-[|[~K][^EL]][~R]],- | ~ K ^ E L ~ R ,- | ~ ~ ^ R ? K ? E L ? ? ? ,K ~ E L ^ | R ~ - 
~A|C^G,[|[~A][^CG]],| ~ A ^ C G ,| ~ ^ A ? C G ,A ~ C G ^ | 
~P^~K|~V^F^~S,[|[^[~P][~K]][^[^[~V]F][~S]]],| ^ ~ P ~ K ^ ^ ~ V F ~ S ,| ^ ^ ~ ~ ^ ~ P ? K ? ~ F S ? ? ? ? ? ? ? V ? ? ? ? ? ? ,P ~ K ~ ^ V ~ F ^ S ~ ^ | 
N^V^~A|~D,[|[^[^NV][~A]][~D]],| ^ ^ N V ~ A ~ D ,| ^ ~ ^ ~ D ? N V A ? ? ? ? ,N V ^ A ~ ^ D ~ | 
~A-~N^V^~U-~I,[-[~A][-[^[^[~N]V][~U]][~I]]],- ~ A - ^ ^ ~ N V ~ U ~ I ,- ~ - A ? ^ ~ ? ? ? ^ ~ I ? ? ? ? ~ V U ? ? ? ? ? ? ? N ? ? ? ? ? ? ? ? ? ,A ~ N ~ V ^ U ~ ^ I ~ - - 
P-~G^B,[-P[^[~G]B]],- P ^ ~ G B ,- P ^ ? ? ~ B ? ? G ? ? ? ,P G ~ B ^ - 
M-J|N-~F,[-M[-[|JN][~F]]],- M - | J N ~ F ,- M - ? ? | ~ ? ? J N F ? ,M J N | F ~ - - 
X|~X|W-X,[-[|[|X[~X]]W]X],- | | X ~ X W X ,- | X | W ? ? X ~ ? ? ? ? ? ? X ? ? ? ? ? ,X X ~ | W | X - 
~M|X^~H|K,[|[|[~M][^X[~H]]]K],| | ~ M ^ X ~ H K ,| | K ~ ^ ? ? M ? X ~ ? ? ? ? ? ? ? H ? ? ? ,M ~ X H ~ ^ | K | 
N|C^U^A|~K,[|[|N[^[^CU]A]][~K]],| | N ^ ^ C U A ~ K ,| | ~ N ^ K ? ? ? ^ A ? ? ? ? ? C U ? ? ? ? ? ,N C U ^ A ^ | K ~ | 
~F,,,,F ~
M|~B^L^M,[|M[^[^[~B]L]M]],| M ^ ^ ~ B L M ,| M ^ ? ? ^ M ? ? ~ L ? ? ? ? B ? ? ? ? ? ,M B ~ L ^ M ^ | 
B|Y|S,[|[|BY]S],| | B Y S ,| | S B Y ? ? ,B Y | S | 
O-S^~F|F,[-O[|[^S[~F]]F]],- O | ^ S ~ F F ,- O | ? ? ^ F ? ? S ~ ? ? ? ? ? ? F ? ? ? ,O S F ~ ^ F | - 
~S^Z-F-~S,[-[^[~S]Z][-F[~S]]],- ^ ~ S Z - F ~ S ,- ^ - ~ Z F ~ S ? ? ? ? ? S ? ,S ~ Z ^ F S ~ - - 
~N|W-~F|~G^Z,[-[|[~N]W][|[~F][^[~G]Z]]],- | ~ N W | ~ F ^ ~ G Z ,- | | ~ W ~ ^ N ? ? ? F ? ~ Z ? ? ? ? ? ? ? ? G ? ? ? ,N ~ W | F ~ G ~ Z ^ | - 
A^~V-T,[-[^A[~V]]T],- ^ A ~ V T ,- ^ T A ~ ? ? ? ? V ? ? ? ,A V ~ ^ T - 
E^N-K,[-[^EN]K],- ^ E N K ,- ^ K E N ? ? ,E N ^ K - 
~D-~S|I-~Z,[-[~D][-[|[~S]I][~Z]]],- ~ D - | ~ S I ~ Z ,- ~ - D ? | ~ ? ? ? ~ I Z ? ? ? ? S ? ? ? ? ? ? ,D ~ S ~ I | Z ~ - - 
H^~F-F^~Z,[-[^H[~F]][^F[~Z]]],- ^ H ~ F ^ F ~ Z ,- ^ ^ H ~ F ~ ? ? F ? ? ? Z ? ,H F ~ ^ F Z ~ ^ - 
G|~Y^~E-~U,[-[|G[^[~Y][~E]]][~U]],- | G ^ ~ Y ~ E ~ U ,- | ~ G ^ U ? ? ? ~ ~ ? ? ? ? ? Y ? E ? ? ? ? ,G Y ~ E ~ ^ | U ~ - 
~X^N-~F,[-[^[~X]N][~F]],- ^ ~ X N ~ F ,- ^ ~ ~ N F ? X ? ? ? ? ? ? ,X ~ N ^ F ~ - 
~K^J-U|E|F,[-[^[~K]J][|[|UE]F]],- ^ ~ K J | | U E F ,- ^ | ~ J | F K ? ? ? U E ? ? ,K ~ J ^ U E | F | - 
~M^S|~A^X|~J,[|[|[^[~M]S][^[~A]X]][~J]],| | ^ ~ M S ^ ~ A X ~ J ,| | ~ ^ ^ J ? ~ S ~ X ? ? ? M ? ? ? A ? ? ? ? ? ? ,M ~ S ^ A ~ X ^ | J ~ | 
N^G-~Q,[-[^NG][~Q]],- ^ N G ~ Q ,- ^ ~ N G Q ? ,N G ^ Q ~ - 
A|~C-~K-~X,[-[|A[~C]][-[~K][~X]]],- | A ~ C - ~ K ~ X ,- | - A ~ ~ ~ ? ? C ? K ? X ? ,A C ~ | K ~ X ~ - - 
~W^R-Q^~S^N,[-[^[~W]R][^[^Q[~S]]N]],- ^ ~ W R ^ ^ Q ~ S N ,- ^ ^ ~ R ^ N W ? ? ? Q ~ ? ? ? ? ? ? ? ? ? S ? ? ? ,W ~ R ^ Q S ~ ^ N ^ - 
~J^R|~K,[|[^[~J]R][~K]],| ^ ~ J R ~ K ,| ^ ~ ~ R K ? J ? ? ? ? ? ? ,J ~ R ^ K ~ | 
Z-~I^F-I|D,[-Z[-[^[~I]F][|ID]]],- Z - ^ ~ I F | I D ,- Z - ? ? ^ | ? ? ~ F I D ? ? I ? ? ? ? ? ? ? ,Z I ~ F ^ I D | - - 
D-S-~N|Q|G,[-D[-S[|[|[~N]Q]G]]],- D - S | | ~ N Q G ,- D - ? ? S | ? ? ? ? | G ? ? ? ? ~ Q ? ? ? ? ? ? N ? ? ? ? ? ,D S N ~ Q | G | - - 
~J^~B^J|~L,[|[^[^[~J][~B]]J][~L]],| ^ ^ ~ J ~ B J ~ L ,| ^ ~ ^ J L ? ~ ~ ? ? ? ? ? J ? B ? ? ? ? ? ? ,J ~ B ~ ^ J ^ L ~ | 
L|~G-~J|~X^~T,[-[|L[~G]][|[~J][^[~X][~T]]]],- | L ~ G | ~ J ^ ~ X ~ T ,- | | L ~ ~ ^ ? ? G ? J ? ~ ~ ? ? ? ? ? ? ? ? X ? T ? ,L G ~ | J ~ X ~ T ~ ^ | - 
~G^~W-~Z,[-[^[~G][~W]][~Z]],- ^ ~ G ~ W ~ Z ,- ^ ~ ~ ~ Z ? G ? W ? ? ? ? ,G ~ W ~ ^ Z ~ - 
~C^F|E|N,[|[|[^[~C]F]E]N],| | ^ ~ C F E N ,| | N ^ E ? ? ~ F ? ? ? ? C ? ? ? ? ? ? ? ,C ~ F ^ E | N | 
E-F^H-~M,[-E[-[^FH][~M]]],- E - ^ F H ~ M ,- E - ? ? ^ ~ ? ? F H M ? ,E F H ^ M ~ - - 
R^~K-~B^F,[-[^R[~K]][^[~B]F]],- ^ R ~ K ^ ~ B F ,- ^ ^ R ~ ~ F ? ? K ? B ? ? ? ,R K ~ ^ B ~ F ^ - 
~W-P^I|E-S,[-[~W][-[|[^PI]E]S]],- ~ W - | ^ P I E S ,- ~ - W ? | S ? ? ? ^ E ? ? ? ? ? P I ? ? ? ? ,W ~ P I ^ E | S - - 
~T^P|~T^H,[|[^[~T]P][^[~T]H]],| ^ ~ T P ^ ~ T H ,| ^ ^ ~ P ~ H T ? ? ? T ? ? ? ,T ~ P ^ T ~ H ^ | 
~D-~B|Z-G,[-[~D][-[|[~B]Z]G]],- ~ D - | ~ B Z G ,- ~ - D ? | G ? ? ? ~ Z ? ? ? ? ? B ? ? ? ? ? ,D ~ B ~ Z | G - - 
K-~O|~F|E,[-K[|[|[~O][~F]]E]],- K | | ~ O ~ F E ,- K | ? ? | E ? ? ~ ~ ? ? ? ? O ? F ? ? ? ,K O ~ F ~ | E | - 
I^L|~V,[|[^IL][~V]],| ^ I L ~ V ,| ^ ~ I L V ? ,I L ^ V ~ | 
~E|~S-G|~S,[-[|[~E][~S]][|G[~S]]],- | ~ E ~ S | G ~ S ,- | | ~ ~ G ~ E ? S ? ? ? S ? ,E ~ S ~ | G S ~ | - 
~D-O-Q^~E,[-[~D][-O[^Q[~E]]]],- ~ D - O ^ Q ~ E ,- ~ - D ? O ^ ? ? ? ? ? Q ~ ? ? ? ? ? ? ? E ? ,D ~ O Q E ~ ^ - - 
~X^M-~R-~X,[-[^[~X]M][-[~R][~X]]],- ^ ~ X M - ~ R ~ X ,- ^ - ~ M ~ ~ X ? ? ? R ? X ? ,X ~ M ^ R ~ X ~ - - 
E^~F-F^V|Q,[-[^E[~F]][|[^FV]Q]],- ^ E ~ F | ^ F V Q ,- ^ | E ~ ^ Q ? ? F ? F V ? ? ,E F ~ ^ F V ^ Q | - 
~J^T|~W^~S|W,[|[|[^[~J]T][^[~W][~S]]]W],| | ^ ~ J T ^ ~ W ~ S W ,| | W ^ ^ ? ? ~ T ~ ~ ? ? J ? ? ? W ? S ? ? ? ,J ~ T ^ W ~ S ~ ^ | W | 
I^~A-W,[-[^I[~A]]W],- ^ I ~ A W ,- ^ W I ~ ? ? ? ? A ? ? ? ,I A ~ ^ W - 
~Q-~N-W-~R|V,[-[~Q][-[~N][-W[|[~R]V]]]],- ~ Q - ~ N - W | ~ R V ,- ~ - Q ? ~ - ? ? ? N ? W | ? ? ? ? ? ? ? ? ~ V ? ? ? ? ? ? ? ? R ? ? ? ,Q ~ N ~ W R ~ V | - - - 
Z^X|N|~M^Y,[|[|[^ZX]N][^[~M]Y]],| | ^ Z X N ^ ~ M Y ,| | ^ ^ N ~ Y Z X ? ? M ? ? ? ,Z X ^ N | M ~ Y ^ | 
C^~M-~O-K,[-[^C[~M]][-[~O]K]],- ^ C ~ M - ~ O K ,- ^ - C ~ ~ K ? ? M ? O ? ? ? ,C M ~ ^ O ~ K - - 
~I-P|F-L,[-[~I][-[|PF]L]],- ~ I - | P F L ,- ~ - I ? | L ? ? ? P F ? ? ,I ~ P F | L - - 
X-R^~N|Y,[-X[|[^R[~N]]Y]],- X | ^ R ~ N Y ,- X | ? ? ^ Y ? ? R ~ ? ? ? ? ? ? N ? ? ? ,X R N ~ ^ Y | - 
~K-Z|~S|T|~H,[-[~K][|[|[|Z[~S]]T][~H]]],- ~ K | | | Z ~ S T ~ H ,- ~ | K ? | ~ ? ? ? | T H ? ? ? ? Z ~ ? ? ? ? ? ? ? ? ? ? S ? ? ? ? ? ? ,K ~ Z S ~ | T | H ~ | - 
C|S-~T,[-[|CS][~T]],- | C S ~ T ,- | ~ C S T ? ,C S | T ~ - 
~Y-C|A^Z|~T,[-[~Y][|[|C[^AZ]][~T]]],- ~ Y | | C ^ A Z ~ T ,- ~ | Y ? | ~ ? ? ? C ^ T ? ? ? ? ? ? A Z ? ? ? ,Y ~ C A Z ^ | T ~ | - 
~J-~F^~D-O|I,[-[~J][-[^[~F][~D]][|OI]]],- ~ J - ^ ~ F ~ D | O I ,- ~ - J ? ^ | ? ? ? ~ ~ O I ? ? ? F ? D ? ? ? ? ? ,J ~ F ~ D ~ ^ O I | - - 
P-~P^~J^~O,[-P[^[^[~P][~J]][~O]]],- P ^ ^ ~ P ~ J ~ O ,- P ^ ? ? ^ ~ ? ? ~ ~ O ? ? ? P ? J ? ? ? ? ,P P ~ J ~ ^ O ~ ^ - 
